Partlist

Exported from control-2014-a.brd at 12/27/2014 11:42:20 PM

EAGLE Version 6.5.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package         Library                Position (inch)       Orientation
J4       Molex 0522711179   FH_11_HOR       hirose                 (0.15 0.6)            R90
J5       Molex 0522711179   FH_11_HOR       hirose                 (0.15 3.16)           R90
J6       Molex 0522711179   FH_11_HOR       hirose                 (4.55 3.16)           R270
J7       Molex 0522711179   FH_11_HOR       hirose                 (4.55 0.6)            R270
J8       MMCX_RA            MMCX_RA         radio                  (4.74 2.19)           R0
J9       2MM-3H             2MM-3-H         2mm                    (1.125 3.79)          R0
J10      2MM-6H             2MM-6-H         2mm                    (1.78 3.79)           R0
J11      BATT               JST_VH_2_RA     jst_vh                 (3.005 0.095)         R0
J12      2MM-4V             2MM-4-V         2mm                    (0.765 1.04)          R270
J13      2MM-4H             2MM-4-H         2mm                    (0.08 1.32)           R90
J14      2MM-4H             2MM-4-H         2mm                    (0.08 2.675)          R90
J15      2MM-4H             2MM-4-H         2mm                    (4.63 2.44)           R270
J16      2MM-4H             2MM-4-H         2mm                    (4.63 1.08)           R270
J17      2MM-8H             2MM-8-H         2mm                    (2.56 3.79)           R0
J18      2MM-4V             2MM-4-V         2mm                    (1 1.04)              R270
J19      JST_VH_2           JST_VH_2_RA     jst_vh                 (0.775 0.41)          R0
J20      2MM-5V             2MM-5-V         2mm                    (1.695 0.33)          R90
L1       SDR0403-270KL      SDR0403         power                  (0.62 1.62)           R180
L2       HZ0603B102R-10     C0603           radio                  (1.615 3.145)         R270
L3       HZ0603B102R-10     C0603           radio                  (1.625 3.355)         R270
L4       L-07C5N6SV6T       R0402           rcl                    (4.515 2.085)         R0
L5       HZ0603B102R-10     C0603           radio                  (3.88 2.205)          MR180
LED1                        CHIP-LED0603    led                    (2.375 2.125)         R270
LED2     LED2               5350T5          5350T5                 (2.245 -0.045)        R180
LED3     LDS-M514RI-RA      LDS-M514RI-RA   rjrc-7seg-disp         (2.555 0.01)          R180
Q1       FAN7380            SO08            microchip              (0.5 2.88)            MR0
Q2       BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (1.395 0.145)         MR270
Q3       FAN7380            SO08            microchip              (0.82 2.88)           MR0
Q4       BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (1.075 0.145)         MR270
Q5       FAN7380            SO08            microchip              (1.14 2.88)           MR0
Q6       BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (0.48 0.145)          MR270
Q7       FAN7380            SO08            microchip              (2.285 2.88)          MR0
Q8       BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (0.5 3.385)           MR90
Q9       FAN7380            SO08            microchip              (2.605 2.88)          MR0
Q10      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (0.82 3.385)          MR90
Q11      FAN7380            SO08            microchip              (2.925 2.88)          MR0
Q12      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (1.14 3.385)          MR90
Q13      FAN7380            SO08            microchip              (3.57 2.88)           MR0
Q14      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (3.57 3.385)          MR90
Q15      FAN7380            SO08            microchip              (3.89 2.88)           MR0
Q16      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (3.89 3.385)          MR90
Q17      FAN7380            SO08            microchip              (4.21 2.88)           MR0
Q18      BSC072N03LD        BSC072N03LD     Dual N-Channel MOSFET  (4.21 3.385)          MR90
